BLU,GRE,RED,REDEDGE,NearIR,NDVI,NDRE,SR,GLI,RGI,ExG,meanRGB,RBI,class
0.0081,0.0146,0.01,0.039,0.1055,0.826839827,0.460207612,10.55,0.234672304,0.684931507,0.0111,0.0109,1.234567901,4
0.0095,0.0209,0.0103,0.0553,0.1463,0.868454662,0.451388889,14.2038835,0.357142857,0.492822967,0.022,0.013566667,1.084210526,4
0.0073,0.0146,0.0074,0.0375,0.1094,0.873287671,0.489448604,14.78378378,0.330296128,0.506849315,0.0145,0.009766667,1.01369863,4
0.0076,0.0142,0.0093,0.0426,0.1186,0.854573886,0.47146402,12.75268817,0.253863135,0.654929577,0.0115,0.010366667,1.223684211,4
0.0079,0.0198,0.0112,0.0548,0.1374,0.849259758,0.429760666,12.26785714,0.34923339,0.565656566,0.0205,0.012966667,1.417721519,4
0.0107,0.0187,0.0096,0.0611,0.1557,0.88384755,0.436346863,16.21875,0.296360485,0.513368984,0.0171,0.013,0.897196262,4
0.01,0.0219,0.0113,0.0633,0.1727,0.877173913,0.463559322,15.28318584,0.34562212,0.515981735,0.0225,0.0144,1.13,4
0.0114,0.0214,0.0124,0.0691,0.1804,0.871369295,0.446092184,14.5483871,0.285285285,0.579439252,0.019,0.015066667,1.087719298,4
0.0107,0.0184,0.0116,0.0535,0.1535,0.859479104,0.483091787,13.23275862,0.24534687,0.630434783,0.0145,0.013566667,1.08411215,4
0.009,0.0172,0.0097,0.0468,0.1263,0.857352941,0.459272097,13.02061856,0.29566855,0.563953488,0.0157,0.011966667,1.077777778,4
0.0098,0.0194,0.0108,0.0569,0.151,0.866501854,0.452621453,13.98148148,0.306397306,0.556701031,0.0182,0.013333333,1.102040816,4
0.0095,0.0178,0.0105,0.0417,0.1123,0.828990228,0.458441558,10.6952381,0.28057554,0.58988764,0.0156,0.0126,1.105263158,4
0.0083,0.0192,0.01,0.0496,0.1239,0.850634802,0.428242075,12.39,0.354497354,0.520833333,0.0201,0.0125,1.204819277,4
0.0109,0.0213,0.0144,0.0523,0.1308,0.801652893,0.428727471,9.083333333,0.254786451,0.676056338,0.0173,0.015533333,1.321100917,4
0.0104,0.0188,0.0131,0.0522,0.1275,0.813655761,0.41903172,9.732824427,0.230769231,0.696808511,0.0141,0.0141,1.259615385,4
0.0134,0.0187,0.0147,0.0343,0.0888,0.715942029,0.442729488,6.040816327,0.141984733,0.786096257,0.0093,0.0156,1.097014925,4
0.0113,0.0176,0.0141,0.0339,0.0945,0.740331492,0.471962617,6.70212766,0.161716172,0.801136364,0.0098,0.014333333,1.247787611,4
0.0102,0.0147,0.0118,0.0385,0.0859,0.758444217,0.381028939,7.279661017,0.143968872,0.802721088,0.0074,0.012233333,1.156862745,4
0.0086,0.015,0.0129,0.0355,0.0983,0.767985612,0.46935725,7.620155039,0.165048544,0.86,0.0085,0.012166667,1.5,4
